0,0,600,0
600,0,600,700
600,700,0,700
0,700,0,0
80,80,520,80
520,80,520,220
520,620,80,620
80,620,80,80
100,100,100,600
100,600,500,600
500,600,500,400
500,500,320,500
500,510,320,510
400,500,400,400
400,400,300,400
300,400,300,500
300,500,200,500
200,500,200,540
200,300,100,300
100,300,100,100
100,100,600,100
320,501,320,501
320,510,320,500
520,270,520,620
520,270,500,270
500,270,500,400
520,220,500,220
500,220,500,100
300,210,300,300
300,300,400,300
400,300,400,210
400,210,400,210
300,210,400,210
200,300,200,440
190,300,190,440
190,440,200,440
190,500,190,540
190,500,200,500
190,540,200,540
